Date,Open,High,Low,Close,Volume
2024-07-05,205.7029,206.8651,204.4734,205.9164,0.0
2024-07-06,205.8489,205.8489,205.8489,205.8489,0.0
2024-07-07,205.8297,206.0317,205.3905,205.8462,0.0
2024-07-08,205.8571,206.9667,205.1206,205.9112,0.0
2024-07-09,205.8872,207.1456,205.3619,206.2223,0.0
2024-07-10,206.2226,207.9049,206.0999,207.5884,0.0
2024-07-11,207.5823,209.4666,202.2155,205.2022,0.0
2024-07-12,205.186,207.1302,203.0183,204.964,0.0
2024-07-14,205.0735,205.5542,204.4408,205.2117,0.0
2024-07-15,205.2002,205.8655,203.6551,204.9198,0.0
2024-07-16,204.9163,206.1987,204.4648,205.3465,0.0
2024-07-17,205.3458,206.9139,202.3347,203.1215,0.0
2024-07-18,203.1207,204.8199,201.0193,203.5933,0.0
2024-07-19,203.6383,204.4392,202.4775,203.255,0.0
2024-07-21,203.2004,203.4046,202.9945,203.2541,0.0
2024-07-22,203.2578,203.9843,201.6825,202.8926,0.0
2024-07-23,202.9171,203.2101,200.4091,200.7711,0.0
2024-07-24,200.8162,201.8118,197.1484,198.4526,0.0
2024-07-25,198.4481,199.2739,195.1803,197.8023,0.0
2024-07-26,197.8139,199.2716,196.7043,197.7305,0.0
2024-07-28,197.9598,197.9971,197.4824,197.6509,0.0
2024-07-29,197.6302,198.9276,195.9494,198.0132,0.0
2024-07-30,198.0691,199.7063,195.6476,195.9121,0.0
2024-07-31,195.9167,197.9708,191.7987,192.6452,0.0
2024-08-01,192.6577,194.0898,188.9976,190.1675,0.0
2024-08-02,190.1675,192.3128,186.0428,187.5458,0.0
2024-08-03,187.515,187.515,187.515,187.515,0.0
2024-08-04,187.3691,187.8671,187.3435,187.5269,0.0
2024-08-05,187.5314,187.8454,180.0737,183.9947,0.0
2024-08-06,183.9986,187.3962,181.9997,183.3717,0.0
2024-08-07,183.366,188.3667,182.9691,186.1868,0.0
2024-08-08,186.188,188.1549,184.1608,187.5851,0.0
2024-08-09,187.5755,188.8119,186.1339,187.0581,0.0
2024-08-11,186.8083,187.5124,186.7161,187.1588,0.0
2024-08-12,187.1604,189.6337,186.9812,187.8124,0.0
2024-08-13,187.8159,190.4494,187.049,188.7861,0.0
2024-08-14,188.7984,189.7993,187.1849,189.0428,0.0
2024-08-15,188.8895,192.3002,188.1992,191.8997,0.0
2024-08-16,191.9098,193.298,189.5967,191.0263,0.0
2024-08-17,191.0263,191.0263,191.0263,191.0263,0.0
2024-08-18,191.0366,191.1855,190.7926,191.0578,0.0
2024-08-19,191.0501,192.4232,187.8165,190.3578,0.0
2024-08-20,190.3629,192.3176,188.1889,189.0769,0.0
2024-08-21,189.1026,192.7174,187.9352,190.033,0.0
2024-08-22,190.0292,192.3859,189.3928,191.3846,0.0
